K;Ca;Mg;M.O.;MO1;MOC;MOD;logK;MOD1
0.28;3.7;1.31;30.49;3.05;alta;1;-1.272965672;0
0.34;4.98;0.99;23.72;2.37;alta;1;-1.078809651;0
0.23;3.75;0.96;23.95;2.4;alta;1;-1.469675952;0
0.22;3.76;0.96;22.7;2.27;alta;1;-1.514127738;0
0.3;4.04;0.67;14.63;1.46;Baja;0;-1.203972765;1
0.21;4.94;0.71;15.14;1.51;Baja;0;-1.560647779;1
0.23;4.25;1.3;23.15;2.31;alta;1;-1.469675952;0
0.24;4.53;1.11;27.69;2.77;alta;1;-1.427116378;0
0.34;5.54;0.95;24.3;2.43;alta;1;-1.078809651;0
0.29;4.93;0.88;18.63;1.86;Baja;0;-1.237874385;1
0.29;4.41;1.02;24.76;2.48;alta;1;-1.237874385;0
0.34;5.41;0.93;26.39;2.64;alta;1;-1.078809651;0
0.31;5.81;1.44;26.98;2.7;alta;1;-1.171182974;0
0.33;3.65;0.83;19.06;1.91;Baja;0;-1.108662585;1
0.23;2.94;0.81;18.63;1.86;Baja;0;-1.469675952;1
0.36;6.1;0.9;26.86;2.69;alta;1;-1.021651208;0
0.53;7.92;1.19;28.78;2.88;alta;1;-0.634878326;0
0.34;5.09;1.05;25.92;2.59;alta;1;-1.078809651;0
0.29;3.74;1.02;27.22;2.72;alta;1;-1.237874385;0
0.41;4.84;0.79;19.38;1.94;Baja;0;-0.891598128;1
0.53;5.68;0.82;20.69;2.07;alta;1;-0.634878326;0
0.23;2.38;0.53;13.71;1.37;Baja;0;-1.469675952;1
0.29;4.34;0.87;19.93;1.99;Baja;0;-1.237874385;1
0.29;3.78;0.83;22.59;2.26;alta;1;-1.237874385;0
0.29;3.9;0.81;19.38;1.94;Baja;0;-1.237874385;1
0.23;3.05;0.8;19.93;1.99;Baja;0;-1.469675952;1
0.29;4.06;0.85;17.77;1.78;Baja;0;-1.237874385;1
0.19;3.84;1.23;24.07;2.41;alta;1;-1.660731219;0
0.15;3;0.91;22.48;2.25;alta;1;-1.897119945;0
0.32;4.68;1.38;24.99;2.5;alta;1;-1.139434306;0
0.32;3.98;1.24;21.8;2.18;alta;1;-1.139434306;0
0.45;5.6;2.63;30.61;3.06;alta;1;-0.798507723;0
0.24;3.53;0.94;25.34;2.53;alta;1;-1.427116378;0
0.4;5.07;0.94;22.36;2.24;alta;1;-0.916290717;0
0.26;5.68;1.29;28.41;2.84;alta;1;-1.347073685;0
0.23;5.73;1.36;30.86;3.09;alta;1;-1.469675952;0
0.24;5.24;1.29;26.04;2.6;alta;1;-1.427116378;0
0.35;4.66;1.18;26.86;2.69;alta;1;-1.049822142;0
0.33;5.59;1.23;25.1;2.51;alta;1;-1.108662585;0
0.27;5.12;0.98;23.5;2.35;alta;1;-1.30933328;0
0.21;3.88;0.99;21.92;2.19;alta;1;-1.560647779;0
0.27;5.32;1;27.57;2.76;alta;1;-1.30933328;0
0.31;3.71;0.87;23.95;2.4;alta;1;-1.171182974;0
0.27;4.06;0.82;22.14;2.21;alta;1;-1.30933328;0
0.21;4.17;0.84;24.64;2.46;alta;1;-1.560647779;0
0.27;3.83;0.81;22.14;2.21;alta;1;-1.30933328;0
0.32;5.37;1.05;30.61;3.06;alta;1;-1.139434306;0
0.4;6.12;1.72;41.24;4.12;alta;1;-0.916290717;0
0.43;4.34;0.82;21.36;2.14;alta;1;-0.843970054;0
0.35;3.8;1.44;24.53;2.45;alta;1;-1.049822142;0
0.43;6.22;1.47;27.34;2.73;alta;1;-0.843970054;0
0.13;3.35;0.8;23.61;2.36;alta;1;-2.040220865;0
0.24;5.04;1.42;30.98;3.1;alta;1;-1.427116378;0
0.35;5.01;0.93;21.47;2.15;alta;1;-1.049822142;0
