K	Ca	Mg	M.O.
0.28	3.7	1.31	30.49
0.34	4.98	0.99	23.72
0.23	3.75	0.96	23.95
0.22	3.76	0.96	22.7
0.3	4.04	0.67	14.63
0.21	4.94	0.71	15.14
0.23	4.25	1.3	23.15
0.24	4.53	1.11	27.69
0.34	5.54	0.95	24.3
0.29	4.93	0.88	18.63
0.29	4.41	1.02	24.76
0.34	5.41	0.93	26.39
0.31	5.81	1.44	26.98
0.33	3.65	0.83	19.06
0.23	2.94	0.81	18.63
0.36	6.1	0.9	26.86
0.53	7.92	1.19	28.78
0.34	5.09	1.05	25.92
0.29	3.74	1.02	27.22
0.41	4.84	0.79	19.38
0.53	5.68	0.82	20.69
0.23	2.38	0.53	13.71
0.29	4.34	0.87	19.93
0.29	3.78	0.83	22.59
0.29	3.9	0.81	19.38
0.23	3.05	0.8	19.93
0.29	4.06	0.85	17.77
0.19	3.84	1.23	24.07
0.15	3	0.91	22.48
0.32	4.68	1.38	24.99
0.32	3.98	1.24	21.8
0.45	5.6	2.63	30.61
0.24	3.53	0.94	25.34
0.4	5.07	0.94	22.36
0.26	5.68	1.29	28.41
0.23	5.73	1.36	30.86
0.24	5.24	1.29	26.04
0.35	4.66	1.18	26.86
0.33	5.59	1.23	25.1
0.27	5.12	0.98	23.5
0.21	3.88	0.99	21.92
0.27	5.32	1	27.57
0.31	3.71	0.87	23.95
0.27	4.06	0.82	22.14
0.21	4.17	0.84	24.64
0.27	3.83	0.81	22.14
0.32	5.37	1.05	30.61
0.4	6.12	1.72	41.24
0.43	4.34	0.82	21.36
0.35	3.8	1.44	24.53
0.43	6.22	1.47	27.34
0.13	3.35	0.8	23.61
0.24	5.04	1.42	30.98
0.35	5.01	0.93	21.47
0.17	2.91	0.89	23.27
0.22	4.31	1.03	25.92
0.2	4.64	0.98	24.64
0.3	3.8	0.75	17.14
0.46	6.69	0.62	26.9
0.26	2.69	0.49	17.01
0.31	4.64	0.59	16.87
0.28	3.91	0.56	17.82
0.36	6.34	0.93	21.85
0.71	6.14	1.27	19.33
0.47	3.49	0.87	16.46
0.26	4.4	0.71	21.14
0.22	2.9	0.56	15.79
0.33	5.14	0.66	20.72
0.4	5.09	0.74	20.03
0.61	7.1	0.73	18.78
0.27	4.09	0.56	18.23
0.52	5.38	0.66	16.33
0.5	9.1	0.94	30.19
0.45	6.38	0.86	23.41
0.29	3.61	0.64	18.64
0.38	4.49	0.65	20.86
0.27	4.9	0.61	20.72
0.31	3.74	0.59	19.89
0.36	3.21	0.55	17.55
0.41	5.09	0.79	21.57
0.4	6.31	0.86	22.42
0.32	4.38	0.74	19.33
0.31	4.31	0.69	19.89
0.35	3.61	0.61	20.58
0.26	3.94	0.76	15.93
0.47	6.9	0.89	24.85
0.16	2.9	0.41	15.12
0.21	3.11	0.6	17.01
0.49	4.16	0.8	17.55
0.59	7.19	0.91	22.42
0.33	5.51	1.1	25.29
0.49	6.41	1.41	35.31
0.52	7.24	0.87	21.71
0.59	4.41	0.98	26.75
0.22	3.2	0.71	22.56
0.2	2.9	0.86	19.19
0.46	5.99	1.94	29.74
0.29	2.59	0.83	19.89
0.33	4.49	0.76	20.86
0.45	5.99	0.9	24.71
0.27	3.09	0.64	19.61
0.33	2.9	0.68	18.37
0.37	5.1	0.89	22.27
0.31	4.99	0.9	23.13
0.4	4.93	0.74	24.13
0.53	5.74	1.04	22.98
0.31	5.8	1	28.98
0.4	5.3	0.8	24.13
0.43	5.61	0.88	25.44
0.37	4.29	0.84	22.7
0.53	5.94	0.9	24.42
0.35	2.94	0.96	15.52
0.74	5.79	1.16	23.99
0.38	4.59	0.7	21.29
0.26	3.29	0.84	21.14
0.2	1.91	0.56	14.72
0.27	4.34	0.9	21.29
0.33	3.94	1.02	21.71
0.28	4.39	0.9	24.28
0.85	5.4	1.04	20.03
0.33	3.91	0.94	18.92
0.3	3.41	0.74	20.03
0.23	3.71	0.79	14.99
0.33	3.91	1.01	21.57
0.3	3.3	0.78	20.03
0.21	3.74	0.68	18.37
0.26	4.07	0.94	19.19
0.62	6.51	1.06	25
0.42	5.21	0.99	22.7
0.36	3.91	1.01	20.58
0.3	4.79	0.83	21.71
0.34	3.69	0.88	16.6
0.22	5.22	0.51	11.32
